epoch,accuracy,loss,val_accuracy,val_loss
20,0.952905774,0.152265728,0.981818199,0.065048203
21,0.9589746,0.116970055,0.982497871,0.061323412
22,0.962907195,0.107237533,0.983857274,0.05600027
23,0.965577483,0.099760443,0.985216677,0.049135562
24,0.966694176,0.093600802,0.985726416,0.045818001
25,0.970772445,0.077097572,0.986745954,0.041469932
26,0.971694887,0.073386863,0.986406088,0.039779738
27,0.974316657,0.071891397,0.986915886,0.039737754
28,0.974413753,0.068549454,0.98827529,0.037816525
29,0.975578964,0.065140709,0.988785028,0.03511877
