epoch,accuracy,loss,val_accuracy,val_loss
1,0.9239,0.2171,0.9728,0.0844
2,0.9344,0.1798,0.9718,0.0863
3,0.9391,0.1618,0.9766,0.0787
4,0.9438,0.1579,0.9772,0.0781
5,0.9432,0.15,0.9798,0.0692
6,0.9441,0.1522,0.9771,0.0903
7,0.9529,0.1269,0.9823,0.0554
8,0.9598,0.1084,0.9839,0.0548
9,0.9599,0.1027,0.9842,0.0541
10,0.965,0.0949,0.9827,0.055
11,0.9617,0.0995,0.9845,0.0509
12,0.9628,0.1016,0.9856,0.0463
13,0.9646,0.0972,0.9871,0.0416
14,0.968,0.083,0.9878,0.0407
15,0.9716,0.0718,0.9864,0.046
16,0.9709,0.0759,0.9888,0.0389
17,0.9735,0.0665,0.99,0.0391
18,0.9736,0.0725,0.9891,0.0407
19,0.9755,0.0617,0.9893,0.039
20,0.9756,0.0678,0.9901,0.0344
